ITERATION,TNE ( Total Network Error ),TNS ( Total Network Success ),MNE ( Mobile Network Error ),MNS ( Mobile Network Success ),Time Elapsed (s)
197,0.429837,0.406091,0.400285,0.413333,0.061765
198,0.428755,0.409091,0.399124,0.413333,0.062037
199,0.427663,0.412060,0.397966,0.413333,0.062307
200,0.426567,0.415000,0.396827,0.413333,0.062591
201,0.426721,0.412935,0.396685,0.413333,0.062869
202,0.426837,0.410891,0.396527,0.413333,0.063145
203,0.426916,0.408867,0.396354,0.413333,0.063426
204,0.426958,0.406863,0.396166,0.413333,0.063724
205,0.426965,0.404878,0.395963,0.413333,0.065796
206,0.426937,0.402913,0.395746,0.413333,0.066115
207,0.426875,0.400966,0.395514,0.413333,0.066452
208,0.426779,0.399038,0.395270,0.413333,0.066711
209,0.426652,0.397129,0.395012,0.413333,0.066973
210,0.426494,0.395238,0.394742,0.413333,0.067802
211,0.426305,0.393365,0.394460,0.413333,0.068075
212,0.426086,0.391509,0.394165,0.413333,0.068316
213,0.425839,0.389671,0.393860,0.413333,0.068559
214,0.425564,0.387850,0.393543,0.413333,0.068799
215,0.425261,0.386047,0.393216,0.413333,0.069036
216,0.424932,0.384259,0.392879,0.413333,0.069279
217,0.424578,0.382488,0.392533,0.413333,0.069532
218,0.424198,0.380734,0.392179,0.413333,0.069776
219,0.423795,0.378995,0.391816,0.413333,0.070016
220,0.423368,0.377273,0.391446,0.413333,0.070261
221,0.422919,0.375566,0.391069,0.406667,0.070512
222,0.422447,0.373874,0.390686,0.400000,0.071024
223,0.421955,0.372197,0.390297,0.393333,0.071270
224,0.421442,0.370536,0.389902,0.386667,0.071517
225,0.420910,0.368889,0.389503,0.380000,0.071878
226,0.420359,0.367257,0.389100,0.373333,0.072116
227,0.419789,0.370044,0.388693,0.373333,0.072360
228,0.419202,0.372807,0.388283,0.373333,0.072603
229,0.418598,0.375546,0.387871,0.373333,0.072850
230,0.417977,0.378261,0.387458,0.373333,0.073092
231,0.417341,0.380952,0.387043,0.373333,0.073327
232,0.416690,0.383621,0.386627,0.373333,0.073759
233,0.416024,0.386266,0.386211,0.373333,0.073996
234,0.415344,0.388889,0.385794,0.373333,0.074239
235,0.414651,0.391489,0.385378,0.373333,0.074480
236,0.413946,0.394068,0.384963,0.373333,0.074718
237,0.413228,0.396624,0.384549,0.373333,0.074960
238,0.412498,0.399160,0.384138,0.373333,0.075199
239,0.411758,0.401674,0.383728,0.373333,0.075472
240,0.411006,0.404167,0.383322,0.373333,0.078704
241,0.410245,0.406639,0.382918,0.373333,0.079556
242,0.409474,0.409091,0.382517,0.373333,0.079986
243,0.408694,0.411523,0.382120,0.373333,0.080235
244,0.407905,0.413934,0.381728,0.373333,0.080481
245,0.407108,0.416327,0.381339,0.373333,0.080718
246,0.406302,0.418699,0.380955,0.373333,0.080961
247,0.405490,0.421053,0.380575,0.373333,0.081296
248,0.404670,0.423387,0.380200,0.373333,0.081554
249,0.403844,0.425703,0.379831,0.373333,0.081812
250,0.403011,0.428000,0.379466,0.373333,0.082078
251,0.403476,0.426295,0.378207,0.373333,0.082358
252,0.403908,0.424603,0.376960,0.373333,0.082605
253,0.404309,0.422925,0.375726,0.373333,0.082849
254,0.404678,0.421260,0.374504,0.373333,0.083088
255,0.405016,0.419608,0.373295,0.373333,0.083334
256,0.405324,0.417969,0.372100,0.373333,0.083895
257,0.405602,0.416342,0.370919,0.373333,0.084144
258,0.405851,0.414729,0.369750,0.373333,0.084385
259,0.406071,0.413127,0.368596,0.373333,0.084630
260,0.406263,0.411538,0.367456,0.373333,0.084875
261,0.406426,0.409962,0.366331,0.373333,0.085117
262,0.406563,0.408397,0.365219,0.373333,0.085998
263,0.406673,0.406844,0.364123,0.373333,0.086236
264,0.406756,0.405303,0.363041,0.373333,0.086481
265,0.406814,0.403774,0.361974,0.373333,0.086925
266,0.406846,0.402256,0.360922,0.373333,0.087163
267,0.406854,0.400749,0.359885,0.373333,0.087405
268,0.406837,0.399254,0.358863,0.373333,0.087735
269,0.406797,0.397770,0.357856,0.373333,0.087970
270,0.406733,0.396296,0.356865,0.373333,0.088203
271,0.406647,0.394834,0.355888,0.373333,0.088438
272,0.406538,0.393382,0.354927,0.373333,0.088674
273,0.406408,0.391941,0.353982,0.373333,0.088953
274,0.406256,0.390511,0.353051,0.373333,0.089191
275,0.406084,0.389091,0.352136,0.373333,0.089427
276,0.405891,0.387681,0.351236,0.373333,0.089663
277,0.405678,0.386282,0.350351,0.373333,0.089897
278,0.405446,0.384892,0.349481,0.373333,0.090139
279,0.405195,0.383513,0.348627,0.373333,0.090379
280,0.404926,0.382143,0.347787,0.373333,0.090614
281,0.404639,0.380783,0.346962,0.373333,0.090848
282,0.404334,0.379433,0.346152,0.373333,0.091087
283,0.404012,0.378092,0.345357,0.373333,0.091331
284,0.403674,0.376761,0.344576,0.373333,0.091852
285,0.403320,0.375439,0.343810,0.373333,0.092104
286,0.402950,0.377622,0.343058,0.380000,0.092355
287,0.402565,0.379791,0.342321,0.386667,0.092590
288,0.402166,0.381944,0.341597,0.393333,0.092821
289,0.401752,0.384083,0.340888,0.400000,0.093089
290,0.401324,0.386207,0.340192,0.406667,0.093324
291,0.400883,0.388316,0.339510,0.413333,0.093556
292,0.400429,0.390411,0.338842,0.420000,0.093787
293,0.399962,0.392491,0.338186,0.426667,0.094019
294,0.399483,0.394558,0.337544,0.433333,0.094253
295,0.398993,0.396610,0.336915,0.440000,0.094495
296,0.398491,0.398649,0.336299,0.446667,0.094736
297,0.397978,0.400673,0.335695,0.453333,0.095499
298,0.397454,0.402685,0.335104,0.460000,0.096737
299,0.396921,0.404682,0.334525,0.466667,0.096998
300,0.396377,0.406667,0.333957,0.466667,0.097244
301,0.396592,0.405316,0.333734,0.466667,0.097532
302,0.396784,0.403974,0.333526,0.466667,0.097832
303,0.396954,0.402640,0.333331,0.466667,0.098070
304,0.397102,0.401316,0.333148,0.466667,0.098311
305,0.397229,0.400000,0.332979,0.466667,0.098563
306,0.397334,0.398693,0.332821,0.466667,0.098896
307,0.397419,0.397394,0.332676,0.466667,0.099165
308,0.397483,0.396104,0.332542,0.466667,0.101770
309,0.397526,0.394822,0.332420,0.466667,0.102136
310,0.397551,0.393548,0.332308,0.466667,0.102422
311,0.397555,0.392283,0.332206,0.466667,0.102936
312,0.397541,0.391026,0.332115,0.466667,0.103214
313,0.397508,0.389776,0.332032,0.466667,0.103457
314,0.397458,0.388535,0.331959,0.466667,0.103716
315,0.397388,0.387302,0.331894,0.466667,0.103953
316,0.397300,0.386076,0.331837,0.466667,0.104197
317,0.397194,0.384858,0.331788,0.466667,0.104518
318,0.397072,0.383648,0.331746,0.466667,0.104763
319,0.396932,0.382445,0.331711,0.466667,0.105000
320,0.396777,0.381250,0.331682,0.460000,0.105252
321,0.396605,0.380062,0.331660,0.453333,0.105491
322,0.396417,0.378882,0.331642,0.446667,0.105729
323,0.396216,0.377709,0.331630,0.440000,0.105989
324,0.395998,0.376543,0.331623,0.433333,0.106225
325,0.395765,0.375385,0.331620,0.426667,0.106470
326,0.395519,0.374233,0.331621,0.420000,0.106707
327,0.395257,0.373089,0.331627,0.413333,0.106948
328,0.394983,0.375000,0.331635,0.413333,0.107190
329,0.394695,0.376900,0.331647,0.413333,0.107430
330,0.394394,0.378788,0.331661,0.413333,0.108653
331,0.394081,0.380665,0.331678,0.413333,0.108891
332,0.393754,0.382530,0.331697,0.413333,0.109126
333,0.393416,0.384384,0.331718,0.413333,0.109358
334,0.393065,0.386228,0.331741,0.413333,0.109597
335,0.392704,0.388060,0.331765,0.413333,0.109823
336,0.392333,0.389881,0.331791,0.413333,0.110054
337,0.391949,0.391691,0.331817,0.413333,0.110294
338,0.391556,0.393491,0.331845,0.413333,0.110534
339,0.391155,0.395280,0.331872,0.413333,0.110771
340,0.390741,0.397059,0.331901,0.413333,0.111038
341,0.390317,0.398827,0.331930,0.413333,0.111281
342,0.389887,0.400585,0.331959,0.413333,0.111515
343,0.389447,0.402332,0.331988,0.413333,0.111758
344,0.388995,0.404070,0.332017,0.413333,0.111992
345,0.388533,0.405797,0.332047,0.413333,0.112221
346,0.388066,0.407514,0.332076,0.413333,0.112451
347,0.387590,0.409222,0.332105,0.413333,0.112688
348,0.387108,0.410920,0.332133,0.413333,0.112927
349,0.386617,0.412607,0.332162,0.413333,0.113165
350,0.386119,0.414286,0.332189,0.413333,0.113407
351,0.386318,0.413105,0.332177,0.413333,0.113643
352,0.386497,0.411932,0.332173,0.413333,0.113888
353,0.386658,0.410765,0.332176,0.413333,0.114122
354,0.386800,0.409605,0.332186,0.413333,0.114353
355,0.386924,0.408451,0.332202,0.413333,0.114634
356,0.387030,0.407303,0.332226,0.413333,0.114879
357,0.387119,0.406162,0.332256,0.413333,0.115136
358,0.387190,0.405028,0.332292,0.413333,0.115381
359,0.387244,0.403900,0.332334,0.413333,0.115627
360,0.387280,0.402778,0.332382,0.413333,0.115870
361,0.387301,0.401662,0.332435,0.413333,0.116107
362,0.387305,0.400552,0.332493,0.413333,0.116361
363,0.387293,0.399449,0.332557,0.413333,0.116608
364,0.387265,0.398352,0.332625,0.413333,0.116843
365,0.387221,0.397260,0.332697,0.413333,0.117076
366,0.387162,0.396175,0.332774,0.413333,0.117326
367,0.387089,0.395095,0.332854,0.413333,0.117635
368,0.387000,0.394022,0.332938,0.413333,0.117891
369,0.386897,0.392954,0.333025,0.413333,0.118137
370,0.386779,0.391892,0.333115,0.413333,0.118384
371,0.386648,0.390836,0.333208,0.413333,0.118620
372,0.386502,0.389785,0.333304,0.413333,0.119066
373,0.386344,0.388740,0.333401,0.413333,0.119340
374,0.386172,0.387701,0.333501,0.413333,0.119734
375,0.385987,0.386667,0.333602,0.413333,0.119980
376,0.385789,0.385638,0.333705,0.413333,0.120221
377,0.385579,0.384615,0.333808,0.406667,0.120458
378,0.385357,0.383598,0.333913,0.400000,0.120693
379,0.385123,0.385224,0.334019,0.400000,0.120932
380,0.384877,0.386842,0.334125,0.400000,0.121174
381,0.384621,0.388451,0.334231,0.400000,0.121412
382,0.384352,0.390052,0.334338,0.400000,0.121654
383,0.384074,0.391645,0.334444,0.400000,0.121891
384,0.383784,0.393229,0.334551,0.400000,0.122129
385,0.383484,0.394805,0.334656,0.400000,0.122367
386,0.383175,0.396373,0.334762,0.400000,0.122608
387,0.382855,0.397933,0.334866,0.400000,0.122854
388,0.382526,0.399485,0.334970,0.400000,0.123101
389,0.382188,0.401028,0.335073,0.400000,0.123341
390,0.381841,0.402564,0.335175,0.400000,0.123623
391,0.381485,0.404092,0.335276,0.400000,0.123976
392,0.381120,0.405612,0.335375,0.400000,0.124226
393,0.380747,0.407125,0.335474,0.400000,0.124471
394,0.380366,0.408629,0.335570,0.400000,0.124721
395,0.379978,0.410127,0.335666,0.400000,0.124974
396,0.379582,0.411616,0.335759,0.400000,0.125216
397,0.379178,0.413098,0.335852,0.400000,0.125450
398,0.378767,0.414573,0.335942,0.400000,0.125700
399,0.378350,0.416040,0.336031,0.400000,0.125940
400,0.377926,0.417500,0.336118,0.400000,0.126175
401,0.378161,0.416459,0.335800,0.400000,0.126416
402,0.378379,0.415423,0.335490,0.400000,0.127964
403,0.378581,0.414392,0.335187,0.400000,0.128582
404,0.378767,0.413366,0.334891,0.400000,0.128834
405,0.378937,0.412346,0.334603,0.400000,0.129082
406,0.379092,0.411330,0.334322,0.400000,0.129321
407,0.379231,0.410319,0.334048,0.400000,0.129593
408,0.379355,0.409314,0.333782,0.400000,0.129838
409,0.379464,0.408313,0.333523,0.400000,0.130097
410,0.379558,0.407317,0.333270,0.400000,0.130339
411,0.379638,0.406326,0.333025,0.400000,0.130589
412,0.379703,0.405340,0.332786,0.400000,0.130828
413,0.379753,0.404358,0.332555,0.400000,0.131064
414,0.379790,0.403382,0.332330,0.400000,0.131303
415,0.379813,0.402410,0.332111,0.400000,0.131536
416,0.379822,0.401442,0.331899,0.400000,0.132266
417,0.379818,0.400480,0.331693,0.400000,0.132515
418,0.379800,0.399522,0.331493,0.400000,0.132751
419,0.379769,0.398568,0.331299,0.400000,0.132995
420,0.379726,0.397619,0.331111,0.400000,0.133235
