ITERATION,TNE ( Total Network Error ),TNS ( Total Network Success ),MNE ( Mobile Network Error ),MNS ( Mobile Network Success ),Time Elapsed (s)
181,0.137970,0.464088,0.136429,0.500000,0.056628
182,0.138043,0.461538,0.136407,0.500000,0.056812
183,0.137935,0.464481,0.136414,0.500000,0.056995
184,0.138032,0.461957,0.136424,0.500000,0.057182
185,0.137936,0.464865,0.136409,0.500000,0.057367
186,0.138007,0.462366,0.136386,0.500000,0.057549
187,0.137902,0.465241,0.136394,0.500000,0.057735
188,0.137997,0.462766,0.136403,0.500000,0.057923
189,0.137904,0.465608,0.136388,0.500000,0.058110
190,0.137973,0.463158,0.136366,0.500000,0.058294
191,0.137870,0.465969,0.136373,0.500000,0.058522
192,0.137963,0.463542,0.136383,0.500000,0.058704
193,0.137872,0.466321,0.136367,0.500000,0.058895
194,0.137939,0.463918,0.136345,0.500000,0.059082
195,0.137839,0.466667,0.136352,0.500000,0.059271
196,0.137931,0.464286,0.136362,0.500000,0.059460
197,0.137841,0.467005,0.136347,0.500000,0.059671
198,0.137907,0.464646,0.136324,0.500000,0.059863
199,0.137808,0.467337,0.136332,0.500000,0.060050
200,0.137899,0.465000,0.136342,0.500000,0.060231
201,0.137811,0.467662,0.136327,0.500000,0.060422
202,0.137875,0.465347,0.136304,0.500000,0.060613
203,0.137779,0.467980,0.136312,0.500000,0.060800
204,0.137868,0.465686,0.136321,0.500000,0.060983
205,0.137781,0.468293,0.136306,0.500000,0.061173
206,0.137844,0.466019,0.136284,0.500000,0.061366
207,0.137750,0.468599,0.136292,0.500000,0.062238
208,0.137838,0.466346,0.136301,0.500000,0.063303
209,0.137753,0.468900,0.136286,0.500000,0.063502
210,0.137814,0.466667,0.136264,0.500000,0.063705
211,0.137722,0.469194,0.136272,0.500000,0.063889
212,0.137809,0.466981,0.136281,0.500000,0.064080
213,0.137725,0.469484,0.136266,0.500000,0.064268
214,0.137784,0.467290,0.136244,0.500000,0.064454
215,0.137695,0.469767,0.136252,0.500000,0.064638
216,0.137780,0.467593,0.136262,0.500000,0.064819
217,0.137698,0.470046,0.136247,0.500000,0.065010
218,0.137756,0.467890,0.136224,0.500000,0.065191
219,0.137668,0.470320,0.136232,0.500000,0.065381
220,0.137752,0.468182,0.136242,0.500000,0.065561
221,0.137671,0.470588,0.136227,0.500000,0.065746
222,0.137728,0.468468,0.136205,0.500000,0.065934
223,0.137642,0.470852,0.136212,0.500000,0.066120
224,0.137725,0.468750,0.136222,0.500000,0.066307
225,0.137645,0.471111,0.136208,0.500000,0.066535
226,0.137701,0.469027,0.136185,0.500000,0.066724
227,0.137616,0.471366,0.136193,0.500000,0.066907
228,0.137698,0.469298,0.136203,0.500000,0.067239
229,0.137620,0.471616,0.136188,0.500000,0.067427
230,0.137674,0.469565,0.136166,0.500000,0.067614
231,0.137591,0.471861,0.136174,0.500000,0.067858
232,0.137672,0.469828,0.136183,0.500000,0.068075
233,0.137595,0.472103,0.136169,0.500000,0.068291
234,0.137648,0.470085,0.136146,0.500000,0.068510
235,0.137567,0.472340,0.136154,0.500000,0.068726
236,0.137646,0.470339,0.136164,0.500000,0.068950
237,0.137570,0.472574,0.136150,0.500000,0.069166
238,0.137622,0.470588,0.136127,0.500000,0.069386
239,0.137543,0.472803,0.136135,0.500000,0.069617
240,0.137621,0.470833,0.136145,0.500000,0.069838
241,0.137546,0.473029,0.136131,0.500000,0.070060
242,0.137597,0.471074,0.136108,0.500000,0.070291
243,0.137519,0.473251,0.136116,0.500000,0.070495
244,0.137597,0.471311,0.136126,0.500000,0.070695
245,0.137523,0.473469,0.136112,0.500000,0.070889
246,0.137573,0.471545,0.136089,0.500000,0.071082
247,0.137496,0.473684,0.136097,0.500000,0.071276
248,0.137573,0.471774,0.136107,0.500000,0.071479
249,0.137500,0.473896,0.136093,0.500000,0.072030
250,0.137549,0.472000,0.136070,0.500000,0.072231
251,0.137474,0.474104,0.136079,0.500000,0.072418
252,0.137549,0.472222,0.136089,0.500000,0.072614
253,0.137477,0.474308,0.136074,0.500000,0.072968
254,0.137525,0.472441,0.136052,0.500000,0.073162
255,0.137452,0.474510,0.136060,0.500000,0.073360
256,0.137526,0.472656,0.136070,0.500000,0.073546
257,0.137455,0.474708,0.136056,0.500000,0.073730
258,0.137502,0.472868,0.136033,0.500000,0.073913
259,0.137430,0.474903,0.136042,0.500000,0.074149
260,0.137503,0.473077,0.136051,0.500000,0.074336
261,0.137434,0.475096,0.136037,0.500000,0.074523
262,0.137479,0.473282,0.136015,0.500000,0.074711
263,0.137408,0.475285,0.136023,0.500000,0.074896
264,0.137481,0.473485,0.136033,0.500000,0.075082
265,0.137412,0.475472,0.136019,0.500000,0.075269
