ITERATION,TNE ( Total Network Error ),TNS ( Total Network Success ),MNE ( Mobile Network Error ),MNS ( Mobile Network Success ),Time Elapsed (s)
163,0.149146,0.079755,0.144350,0.000000,0.069107
164,0.149115,0.079268,0.144320,0.000000,0.069433
165,0.149021,0.078788,0.144277,0.000000,0.069768
166,0.148968,0.078313,0.144266,0.000000,0.070105
167,0.149029,0.077844,0.144283,0.000000,0.070526
168,0.148999,0.077381,0.144254,0.000000,0.070868
169,0.148907,0.076923,0.144211,0.000000,0.071206
170,0.148856,0.076471,0.144199,0.000000,0.071531
171,0.148917,0.076023,0.144217,0.000000,0.071915
172,0.148887,0.075581,0.144187,0.000000,0.072421
173,0.148797,0.075145,0.144144,0.000000,0.076525
174,0.148747,0.074713,0.144133,0.000000,0.078224
175,0.148808,0.074286,0.144151,0.000000,0.078685
176,0.148779,0.073864,0.144121,0.000000,0.079029
177,0.148690,0.073446,0.144078,0.000000,0.079346
178,0.148642,0.073034,0.144066,0.000000,0.079682
179,0.148702,0.072626,0.144085,0.000000,0.080319
180,0.148674,0.072222,0.144055,0.000000,0.080646
181,0.148587,0.071823,0.144011,0.000000,0.080962
182,0.148540,0.071429,0.143999,0.000000,0.081272
183,0.148600,0.071038,0.144019,0.000000,0.081583
184,0.148572,0.070652,0.143989,0.000000,0.081897
185,0.148486,0.070270,0.143945,0.000000,0.082272
186,0.148441,0.069892,0.143933,0.000000,0.082798
187,0.148501,0.069519,0.143953,0.000000,0.083111
188,0.148473,0.069149,0.143923,0.000000,0.083427
189,0.148389,0.068783,0.143879,0.000000,0.083738
190,0.148345,0.068421,0.143867,0.000000,0.084053
191,0.148404,0.068063,0.143888,0.000000,0.084392
192,0.148377,0.067708,0.143858,0.000000,0.084965
193,0.148294,0.067358,0.143813,0.000000,0.085286
194,0.148251,0.067010,0.143800,0.000000,0.085604
195,0.148310,0.066667,0.143822,0.000000,0.085924
196,0.148284,0.066327,0.143792,0.000000,0.086234
197,0.148202,0.065990,0.143747,0.000000,0.088022
198,0.148160,0.065657,0.143734,0.000000,0.088660
199,0.148218,0.065327,0.143757,0.000000,0.089017
200,0.148192,0.065000,0.143727,0.000000,0.089363
201,0.148112,0.064677,0.143682,0.000000,0.089778
202,0.148071,0.064356,0.143668,0.000000,0.090237
203,0.148129,0.064039,0.143692,0.000000,0.090777
204,0.148104,0.063725,0.143661,0.000000,0.091123
205,0.148024,0.063415,0.143616,0.000000,0.091500
206,0.147984,0.063107,0.143602,0.000000,0.092635
207,0.148042,0.062802,0.143627,0.000000,0.093034
208,0.148017,0.062500,0.143596,0.000000,0.093387
209,0.147938,0.062201,0.143550,0.000000,0.093735
210,0.147899,0.061905,0.143537,0.000000,0.094080
211,0.147957,0.061611,0.143562,0.000000,0.094698
212,0.147932,0.061321,0.143531,0.000000,0.095055
213,0.147855,0.061033,0.143485,0.000000,0.095419
214,0.147817,0.060748,0.143471,0.000000,0.095766
215,0.147874,0.060465,0.143497,0.000000,0.096165
216,0.147850,0.060185,0.143466,0.000000,0.096504
217,0.147773,0.059908,0.143420,0.000000,0.096857
218,0.147736,0.059633,0.143405,0.000000,0.097232
219,0.147793,0.059361,0.143432,0.000000,0.097680
220,0.147769,0.059091,0.143401,0.000000,0.098746
221,0.147693,0.058824,0.143354,0.000000,0.099309
222,0.147656,0.058559,0.143339,0.000000,0.099901
223,0.147714,0.058296,0.143367,0.000000,0.100304
224,0.147689,0.058036,0.143336,0.000000,0.100696
225,0.147615,0.057778,0.143289,0.000000,0.101084
226,0.147579,0.057522,0.143274,0.000000,0.101544
227,0.147636,0.057269,0.143303,0.000000,0.102601
228,0.147612,0.057018,0.143271,0.000000,0.103296
229,0.147538,0.056769,0.143224,0.000000,0.103695
230,0.147503,0.056522,0.143208,0.000000,0.104051
231,0.147560,0.056277,0.143238,0.000000,0.104409
232,0.147536,0.056034,0.143206,0.000000,0.104808
233,0.147463,0.055794,0.143159,0.000000,0.105159
234,0.147428,0.055556,0.143143,0.000000,0.105508
235,0.147485,0.055319,0.143173,0.000000,0.105860
236,0.147462,0.055085,0.143141,0.000000,0.106205
237,0.147389,0.054852,0.143093,0.000000,0.106688
238,0.147355,0.054622,0.143077,0.000000,0.107023
239,0.147412,0.054393,0.143109,0.000000,0.107355
240,0.147388,0.054167,0.143077,0.000000,0.107783
241,0.147317,0.053942,0.143028,0.000000,0.108133
242,0.147283,0.053719,0.143012,0.000000,0.108487
